price,type,os,Ghz,Cpu,Ssd,graphics,ts_info,resolution,memory/ram,Brand,Links,graphics_quality
1139.99,Work / Business,Windows 11,1.7,Intel Core i7,2000,Intel Iris Graphics,0,1920x1080,32,Dell,https://www.newegg.com/black-dell-vostro-3520-work-business/p/1TS-000A-0YRF4?Item=9SIAA0SJWF2261,Medium
1069.99,Work / Business,Windows 11,1.7,Intel Core i7,2000,Intel Iris Graphics,0,1920x1080,16,Dell,https://www.newegg.com/black-dell-vostro-3520-work-business/p/1TS-000A-0YRF1?Item=9SIAA0SJWF2258,Medium
1499.0,Work / Business,Windows 11,2.1,Intel Core i7,512,Intel Iris Graphics,0,1920x1080,16,Lenovo,https://www.newegg.com/thunder-black-lenovo-thinkpad-l14-gen-3-21c1004nus-work-business/p/N82E16834646917?Item=9SIA24GJ5Z6323,Medium
1599.99,Work / Business,Windows 11,2.1,Intel Core i7,512,Intel Iris Graphics,0,1920x1080,16,Lenovo,https://www.newegg.com/thunder-black-lenovo-thinkpad-l14-gen-3-21c1004nus-work-business/p/N82E16834646917?Item=9SIA24GJ5Z6323,Medium
1139.0,Gaming,Windows 10,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3050,0,1920x1080,32,Acer,https://www.newegg.com/p/1TS-000X-04Y89?Item=9SIBMCUJVY2885,Medium
1139.0,Gaming,Windows 10,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3050,0,1920x1080,32,Acer,https://www.newegg.com/p/1TS-000X-04Y89?Item=9SIBMCUJVY2885,Medium
1649.0,Gaming,Windows 11,2.1,Intel Core i7,1000,Intel Iris Graphics,0,1920x1080,32,HP,https://www.newegg.com/p/2WC-0001-04C84?Item=9SIB6HNJN95116,Medium
1059.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce RTX 3050,0,1920x1200,16,Acer,https://www.newegg.com/p/2WC-000K-01EF9?Item=9SIBM7NJW20086,Medium
1289.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,https://www.newegg.com/p/2WC-000N-09GN4?Item=9SIBM7NJW21710,Medium
1329.0,Gaming,Windows 10,3.33,Ryzen 5,1000,NVIDIA GeForce GTX 1650,0,1920x1200,32,Lenovo,https://www.newegg.com/p/2WC-000J-021Z1?Item=9SIBM7NJW18341,Medium
1349.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09GC3?Item=9SIBM7NJW21053,Medium
2159.0,Gaming,Windows 10,2.9,Ryzen 7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09G65?Item=9SIBM7NJW20936,High
1159.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,https://www.newegg.com/p/2WC-000N-09GC9?Item=9SIBM7NJW21202,Medium
2539.0,Gaming,Windows 10,2.3,Intel Core i7,2000,NVIDIA GeForce RTX 3060,0,1920x1080,64,Acer,https://www.newegg.com/p/2WC-000K-01DP1?Item=9SIBM7NJW17793,High
2169.0,Gaming,Windows 10,2.9,Ryzen 7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09G92?Item=9SIBM7NJW21035,High
1169.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09GE0?Item=9SIBM7NJW21214,Medium
1379.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce RTX 3050,0,1920x1200,32,Acer,https://www.newegg.com/p/2WC-000K-01EG2?Item=9SIBM7NJW20097,Medium
1439.0,Gaming,Windows 10,2.4,Intel Core i7,1000,Intel Iris Graphics,0,1920x1080,32,HP,https://www.newegg.com/p/2WC-0001-03T37?Item=9SIBM7NJW18178,Medium
1269.0,Gaming,Windows 10,2.4,Intel Core i7,512,Intel Iris Graphics,1,1920x1080,16,HP,https://www.newegg.com/p/2WC-0001-044M9?Item=9SIBM7NJW14520,Medium
1699.0,Gaming,Windows 10,2.3,Intel Core i7,2000,NVIDIA GeForce RTX 3050,0,1920x1080,40,ASUS,https://www.newegg.com/p/2WC-000N-09788?Item=9SIBM7NJW18022,Medium
1529.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1080,16,ASUS,https://www.newegg.com/p/2WC-000N-09766?Item=9SIBM7NJW17975,Medium
1499.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GF2?Item=9SIBM7NJW21172,Medium
2069.0,Gaming,Windows 10,2.9,Ryzen 7,512,NVIDIA GeForce RTX 3060,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09G61?Item=9SIBM7NJW20932,High
2319.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,https://www.newegg.com/p/2WC-000K-01DP0?Item=9SIBM7NJW17769,High
1609.0,Gaming,Windows 10,2.3,Intel Core i7,2000,NVIDIA GeForce RTX 3050,0,1920x1080,16,ASUS,https://www.newegg.com/p/2WC-000N-09785?Item=9SIBM7NJW17997,Medium
1329.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GG6?Item=9SIBM7NJW21183,Medium
1249.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GG5?Item=9SIBM7NJW21179,Medium
1559.0,Gaming,Windows 10,2.4,Intel Core i7,1000,Intel Iris Graphics,0,1920x1080,64,HP,https://www.newegg.com/p/2WC-0001-03T41?Item=9SIBM7NJW18190,Medium
